ID, AD1, AD2, AD3, MP1, MP2, ON1, ON2, ON3, OP1, OP2, OP3, CON1, CON2, CON3, DSU1, DSU2, DSU3, DSU4, DSU5, TRY1, TRY2, TRY3, PEU1, PEU2, PEU3, PEU4, PU1, PU2, PU3, PU4, SSE1, SSE2, SSE3, SSE4, SSE5, CHECK
30, 5, 5, 4, 6, 6, 5, 5, 5, 5, 5, 5, 7, 7, 2, 6, 6, 6, 6, 6, 5, 5, 4, 6, 5, 6, 6, 7, 6, 6, 6, 6, 6, 6, 6, 6, 1
31, 5, 4, 3, 6, 6, 6, 5, 6, 5, 6, 4, 7, 7, 1, 7, 5, 6, 7, 7, 6, 5, 5, 6, 5, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 1
32, 5, 5, 4, 6, 6, 6, 6, 6, 5, 6, 5, 6, 6, 2, 6, 6, 6, 6, 6, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
33, 5, 4, 4, 6, 6, 6, 6, 6, 5, 5, 5, 7, 6, 1, 6, 6, 6, 6, 6, 5, 5, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
34, 6, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 7, 7, 1, 6, 6, 6, 6, 6, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
35, 5, 4, 4, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 1, 6, 6, 6, 6, 6, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
36, 5, 4, 4, 6, 5, 5, 5, 5, 5, 5, 5, 6, 6, 2, 5, 5, 5, 5, 6, 4, 4, 4, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
37, 5, 5, 5, 6, 6, 6, 6, 6, 5, 5, 5, 6, 6, 1, 6, 6, 6, 6, 6, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
38, 5, 4, 4, 6, 6, 6, 6, 6, 4, 5, 5, 6, 6, 2, 6, 5, 5, 5, 6, 5, 5, 5, 5, 5, 4, 5, 6, 6, 6, 6, 6, 6, 6, 7, 6, 1
39, 3, 3, 3, 5, 5, 4, 4, 4, 4, 5, 6, 6, 6, 2, 5, 5, 4, 5, 6, 4, 4, 3, 5, 5, 5, 6, 6, 6, 5, 6, 5, 6, 6, 6, 5, 1
40, 5, 4, 3, 6, 6, 6, 6, 6, 5, 5, 5, 6, 6, 2, 6, 6, 5, 5, 6, 5, 5, 4, 5, 4, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
41, 3, 3, 3, 5, 5, 5, 4, 4, 4, 5, 5, 7, 7, 2, 5, 5, 4, 5, 6, 5, 4, 3, 6, 5, 5, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 1
42, 4, 3, 3, 5, 5, 5, 5, 5, 4, 5, 5, 6, 6, 1, 6, 6, 5, 6, 6, 4, 4, 4, 6, 5, 6, 6, 6, 6, 6, 6, 5, 5, 6, 6, 5, 1
43, 5, 5, 5, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 2, 6, 6, 6, 6, 6, 6, 6, 5, 6, 5, 5, 6, 6, 6, 6, 6, 5, 5, 5, 5, 5, 1
44, 5, 3, 3, 6, 6, 6, 6, 6, 5, 5, 5, 6, 6, 2, 6, 5, 5, 5, 6, 5, 4, 4, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
45, 4, 4, 3, 5, 5, 5, 5, 5, 4, 5, 5, 6, 6, 2, 6, 6, 5, 5, 6, 4, 4, 4, 5, 3, 5, 5, 6, 6, 6, 6, 5, 6, 6, 6, 6, 1
46, 4, 3, 3, 7, 7, 6, 6, 5, 4, 5, 5, 7, 7, 2, 6, 4, 4, 4, 6, 5, 5, 3, 6, 6, 6, 6, 6, 5, 5, 6, 5, 5, 6, 6, 5, 1
47, 4, 4, 4, 6, 6, 5, 4, 5, 5, 5, 5, 7, 7, 2, 6, 6, 5, 6, 7, 5, 4, 4, 6, 4, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
48, 4, 3, 4, 5, 5, 4, 4, 4, 4, 6, 5, 6, 6, 1, 6, 6, 5, 6, 6, 4, 2, 2, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
49, 5, 4, 4, 6, 6, 5, 5, 5, 5, 5, 5, 6, 6, 2, 6, 5, 5, 5, 6, 5, 5, 4, 6, 5, 6, 6, 6, 6, 6, 6, 5, 5, 5, 6, 5, 1
50, 5, 4, 4, 6, 6, 5, 5, 5, 5, 5, 5, 6, 6, 2, 6, 6, 6, 6, 6, 5, 5, 5, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
51, 5, 4, 4, 6, 6, 5, 6, 5, 6, 6, 6, 7, 7, 2, 7, 6, 6, 6, 7, 5, 5, 4, 6, 6, 6, 6, 7, 7, 6, 7, 6, 7, 7, 7, 6, 1
52, 3, 2, 2, 4, 4, 3, 3, 3, 4, 4, 4, 6, 6, 1, 5, 5, 4, 5, 6, 3, 2, 2, 6, 5, 5, 5, 6, 6, 6, 6, 5, 6, 6, 6, 5, 1
53, 3, 3, 2, 5, 5, 4, 4, 4, 4, 5, 5, 6, 6, 2, 5, 5, 5, 5, 6, 4, 3, 3, 6, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
54, 6, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 2, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
55, 5, 4, 5, 6, 6, 5, 5, 5, 5, 6, 6, 6, 6, 1, 6, 6, 6, 6, 6, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
56, 3, 3, 2, 4, 4, 4, 3, 3, 4, 5, 5, 6, 6, 2, 5, 5, 4, 5, 6, 2, 3, 3, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
57, 5, 4, 3, 5, 5, 5, 4, 4, 4, 5, 4, 6, 6, 2, 6, 5, 5, 5, 6, 5, 5, 3, 6, 5, 5, 6, 6, 5, 5, 6, 6, 6, 6, 6, 6, 1
59, 4, 3, 4, 6, 6, 5, 5, 5, 4, 6, 5, 7, 7, 1, 6, 6, 6, 6, 7, 5, 5, 4, 6, 5, 6, 6, 6, 7, 6, 7, 6, 6, 7, 7, 6, 1
60, 4, 4, 3, 5, 5, 5, 5, 5, 4, 5, 5, 7, 7, 2, 6, 5, 5, 5, 6, 5, 4, 4, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
61, 3, 3, 3, 5, 5, 3, 3, 4, 3, 5, 4, 7, 6, 1, 5, 5, 5, 5, 6, 2, 2, 2, 5, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 6, 1
62, 3, 4, 4, 5, 5, 5, 5, 5, 3, 5, 5, 6, 6, 2, 6, 5, 5, 5, 6, 4, 4, 4, 6, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 2
63, 3, 3, 3, 5, 5, 4, 3, 4, 4, 5, 4, 7, 7, 2, 5, 5, 4, 5, 6, 4, 4, 4, 5, 4, 4, 5, 6, 6, 6, 6, 5, 5, 5, 6, 5, 1
64, 4, 4, 3, 6, 6, 6, 6, 6, 5, 5, 5, 6, 6, 2, 6, 6, 5, 5, 6, 5, 5, 4, 5, 4, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
66, 5, 4, 3, 6, 6, 5, 5, 5, 5, 6, 4, 7, 6, 2, 6, 6, 5, 6, 7, 5, 5, 3, 6, 5, 6, 7, 6, 6, 6, 6, 6, 6, 6, 7, 6, 1
68, 4, 4, 4, 6, 6, 6, 6, 6, 5, 5, 5, 6, 6, 2, 6, 5, 5, 5, 6, 5, 5, 4, 5, 4, 5, 5, 6, 6, 6, 6, 5, 5, 5, 6, 5, 1
69, 4, 3, 3, 6, 6, 5, 5, 5, 5, 5, 5, 6, 6, 2, 6, 5, 5, 6, 6, 4, 4, 3, 6, 4, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
70, 4, 3, 3, 5, 5, 5, 5, 5, 4, 5, 4, 6, 6, 2, 6, 5, 5, 5, 6, 4, 4, 3, 6, 4, 5, 6, 5, 5, 5, 5, 6, 6, 6, 6, 6, 1
71, 4, 4, 3, 6, 6, 5, 5, 5, 4, 5, 5, 6, 6, 2, 6, 5, 5, 5, 6, 5, 5, 5, 5, 4, 5, 5, 6, 6, 6, 6, 5, 6, 5, 6, 5, 1
72, 6, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 2, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
73, 4, 4, 4, 6, 6, 5, 5, 5, 5, 5, 5, 6, 6, 2, 6, 5, 5, 5, 6, 5, 5, 5, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
74, 4, 4, 3, 6, 6, 5, 5, 5, 4, 5, 5, 6, 6, 2, 6, 5, 4, 5, 6, 4, 4, 3, 6, 5, 6, 6, 6, 6, 6, 6, 5, 5, 5, 5, 5, 1
76, 4, 4, 4, 6, 6, 5, 5, 5, 4, 5, 5, 7, 7, 2, 6, 5, 5, 5, 6, 5, 4, 3, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
77, 3, 4, 2, 5, 5, 5, 5, 5, 4, 5, 5, 7, 6, 1, 6, 6, 5, 6, 6, 4, 3, 3, 6, 5, 6, 7, 6, 6, 5, 6, 6, 6, 6, 6, 6, 1
78, 5, 5, 4, 6, 6, 6, 6, 6, 5, 5, 5, 6, 6, 2, 6, 6, 6, 6, 6, 5, 5, 5, 6, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
79, 5, 4, 4, 6, 6, 6, 6, 6, 5, 6, 5, 6, 6, 2, 6, 6, 5, 6, 6, 5, 5, 4, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
80, 3, 3, 2, 5, 4, 4, 4, 4, 4, 4, 5, 7, 7, 2, 6, 5, 5, 5, 6, 4, 3, 3, 5, 4, 5, 5, 6, 6, 5, 6, 5, 6, 6, 6, 6, 1
81, 4, 3, 3, 6, 6, 5, 4, 5, 4, 6, 5, 7, 7, 1, 7, 6, 5, 6, 7, 5, 5, 4, 6, 5, 6, 6, 7, 7, 7, 7, 6, 6, 6, 7, 6, 1
82, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 2, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
83, 5, 4, 4, 6, 6, 5, 5, 5, 5, 5, 5, 6, 6, 2, 6, 6, 5, 6, 6, 5, 5, 4, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
84, 5, 3, 4, 5, 5, 5, 5, 5, 4, 5, 5, 6, 6, 2, 5, 5, 5, 5, 6, 5, 5, 4, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
85, 4, 3, 5, 6, 6, 6, 6, 6, 5, 5, 6, 7, 7, 1, 6, 6, 5, 5, 7, 4, 5, 4, 6, 5, 6, 7, 7, 6, 6, 6, 6, 7, 6, 7, 7, 1
86, 3, 2, 3, 5, 5, 4, 4, 5, 5, 6, 6, 7, 7, 2, 6, 6, 5, 6, 6, 3, 3, 4, 5, 4, 5, 5, 7, 6, 6, 7, 5, 6, 6, 6, 6, 1
87, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 2, 6, 5, 5, 5, 6, 5, 5, 4, 6, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
88, 5, 3, 4, 6, 6, 5, 5, 5, 4, 5, 5, 6, 6, 2, 6, 6, 5, 5, 6, 5, 5, 5, 5, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
89, 4, 4, 3, 6, 6, 5, 5, 5, 5, 5, 5, 7, 7, 2, 6, 6, 5, 6, 6, 5, 5, 5, 6, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 1
90, 3, 3, 3, 6, 5, 5, 5, 6, 3, 5, 4, 6, 6, 2, 5, 4, 4, 4, 5, 3, 4, 3, 5, 3, 5, 5, 6, 6, 6, 6, 5, 5, 5, 6, 5, 1
91, 4, 3, 3, 6, 6, 5, 5, 5, 4, 5, 4, 6, 6, 2, 5, 4, 4, 5, 5, 4, 4, 3, 5, 4, 4, 5, 6, 5, 5, 5, 5, 5, 6, 6, 5, 1
92, 5, 4, 3, 6, 6, 6, 6, 6, 5, 5, 5, 7, 7, 2, 6, 6, 5, 6, 7, 5, 5, 4, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 7, 7, 6, 1
93, 4, 3, 2, 5, 4, 3, 5, 4, 4, 5, 4, 7, 6, 1, 6, 5, 5, 5, 6, 4, 3, 3, 5, 5, 6, 5, 6, 6, 6, 6, 6, 6, 6, 7, 6, 1
94, 5, 2, 4, 7, 6, 6, 6, 6, 5, 6, 6, 7, 7, 1, 6, 6, 5, 6, 6, 5, 5, 5, 7, 6, 6, 7, 7, 6, 6, 6, 7, 7, 7, 7, 7, 1
95, 3, 2, 2, 4, 4, 3, 3, 4, 3, 5, 4, 6, 6, 2, 5, 5, 4, 5, 6, 3, 3, 2, 6, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 1
96, 2, 2, 2, 5, 5, 3, 3, 4, 3, 5, 3, 7, 6, 1, 5, 5, 4, 5, 6, 3, 2, 2, 5, 4, 4, 5, 6, 6, 6, 6, 3, 4, 5, 5, 4, 1
97, 4, 3, 3, 5, 5, 5, 4, 4, 4, 5, 5, 7, 6, 2, 5, 5, 5, 5, 6, 5, 4, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
98, 5, 4, 3, 6, 5, 5, 5, 5, 4, 5, 5, 6, 6, 2, 6, 6, 5, 6, 6, 4, 4, 4, 6, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
99, 4, 3, 3, 6, 6, 5, 5, 5, 4, 5, 5, 7, 7, 1, 6, 6, 6, 6, 6, 5, 5, 4, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
100, 5, 4, 4, 6, 6, 6, 5, 6, 5, 5, 5, 7, 6, 2, 6, 6, 5, 6, 7, 5, 5, 4, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 6, 1
101, 4, 3, 4, 6, 5, 5, 5, 5, 5, 5, 5, 7, 7, 2, 6, 6, 5, 6, 6, 5, 5, 4, 6, 6, 6, 7, 7, 6, 6, 6, 6, 6, 6, 6, 6, 1
102, 3, 2, 2, 4, 4, 3, 4, 3, 4, 4, 4, 6, 5, 1, 5, 5, 4, 5, 6, 3, 3, 3, 5, 5, 5, 5, 6, 6, 6, 6, 5, 5, 5, 5, 5, 1
103, 4, 4, 3, 5, 5, 5, 5, 5, 4, 5, 5, 6, 6, 2, 6, 5, 5, 5, 6, 4, 4, 4, 5, 4, 5, 6, 6, 5, 5, 6, 5, 5, 5, 5, 5, 1
104, 5, 5, 4, 6, 6, 5, 5, 5, 5, 5, 5, 6, 6, 2, 6, 6, 6, 6, 6, 5, 5, 4, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
105, 6, 4, 3, 6, 6, 6, 6, 5, 5, 5, 5, 6, 6, 2, 6, 6, 6, 6, 6, 5, 5, 4, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
106, 4, 3, 2, 5, 5, 4, 3, 4, 4, 5, 4, 6, 6, 2, 6, 5, 5, 5, 6, 3, 3, 3, 6, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
107, 5, 4, 4, 6, 6, 6, 5, 6, 5, 5, 5, 6, 6, 2, 5, 5, 5, 5, 6, 5, 5, 5, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
108, 4, 4, 4, 6, 6, 5, 5, 5, 5, 5, 5, 6, 6, 2, 6, 6, 5, 6, 6, 5, 5, 4, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
109, 5, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 2, 6, 6, 5, 6, 6, 5, 5, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
110, 5, 5, 4, 6, 6, 6, 5, 6, 5, 6, 6, 7, 7, 1, 6, 6, 6, 6, 6, 5, 5, 4, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
111, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 7, 1, 6, 6, 6, 6, 7, 6, 6, 6, 7, 6, 6, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 1
112, 4, 3, 4, 6, 6, 6, 6, 6, 5, 5, 5, 6, 6, 2, 6, 6, 5, 6, 6, 4, 5, 4, 6, 4, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
113, 4, 3, 3, 6, 5, 5, 5, 5, 4, 5, 5, 7, 6, 2, 6, 5, 5, 5, 6, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
114, 5, 4, 4, 5, 5, 5, 5, 5, 4, 5, 5, 6, 6, 2, 6, 5, 5, 6, 6, 5, 5, 4, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
115, 4, 3, 3, 5, 5, 5, 5, 5, 4, 5, 5, 6, 6, 2, 6, 5, 5, 5, 6, 4, 4, 3, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
116, 5, 3, 3, 6, 6, 6, 5, 6, 5, 6, 5, 7, 6, 2, 6, 6, 5, 6, 6, 5, 5, 4, 6, 4, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
117, 4, 2, 3, 6, 5, 5, 5, 5, 4, 5, 5, 7, 7, 2, 7, 6, 6, 6, 7, 5, 4, 2, 5, 3, 6, 6, 7, 6, 6, 7, 6, 6, 7, 7, 7, 1
118, 5, 4, 4, 6, 6, 6, 6, 6, 4, 5, 5, 6, 6, 2, 5, 5, 5, 5, 6, 5, 5, 5, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
119, 2, 2, 2, 5, 6, 3, 3, 4, 3, 5, 4, 6, 6, 1, 5, 5, 4, 5, 6, 3, 2, 2, 5, 4, 4, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
120, 5, 4, 5, 6, 6, 5, 5, 5, 5, 5, 5, 6, 6, 2, 6, 6, 5, 6, 6, 5, 5, 5, 6, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
121, 4, 2, 3, 5, 5, 5, 4, 4, 3, 5, 6, 7, 7, 1, 6, 5, 5, 5, 6, 4, 4, 3, 6, 5, 6, 6, 7, 6, 6, 6, 6, 6, 6, 6, 6, 1
122, 4, 3, 4, 5, 5, 4, 4, 4, 5, 4, 5, 7, 7, 2, 6, 6, 5, 5, 7, 4, 5, 3, 6, 5, 6, 7, 6, 6, 6, 6, 6, 6, 6, 7, 7, 1
123, 5, 4, 4, 7, 7, 6, 6, 6, 5, 5, 5, 7, 7, 2, 6, 6, 6, 6, 7, 5, 4, 3, 6, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 1
124, 5, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 1, 6, 5, 5, 5, 6, 5, 5, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
125, 4, 3, 3, 5, 5, 4, 4, 4, 3, 5, 5, 6, 6, 1, 6, 6, 5, 6, 6, 4, 3, 2, 6, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
127, 5, 5, 5, 6, 6, 5, 5, 5, 5, 5, 5, 7, 7, 2, 6, 6, 6, 6, 6, 5, 5, 5, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
128, 4, 3, 3, 5, 5, 5, 4, 5, 3, 5, 5, 7, 7, 2, 6, 5, 5, 5, 6, 4, 4, 4, 6, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
129, 5, 4, 4, 6, 6, 5, 5, 6, 5, 5, 5, 6, 6, 2, 6, 6, 6, 6, 6, 5, 5, 4, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
130, 5, 4, 4, 6, 6, 5, 5, 5, 4, 5, 5, 7, 6, 2, 6, 6, 5, 6, 7, 5, 5, 4, 6, 5, 6, 6, 6, 6, 6, 6, 7, 7, 6, 7, 7, 1
131, 4, 4, 4, 6, 6, 6, 6, 6, 5, 5, 5, 6, 6, 2, 6, 6, 5, 6, 6, 5, 5, 4, 6, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1
